Date,A.csv,AAL.csv,AAP.csv,AAPL.csv,ABBV.csv,ABC.csv,ABMD.csv,ABT.csv,ACN.csv,ADBE.csv,ADI.csv,ADM.csv,ADP.csv,ADS.csv,ADSK.csv,AEE.csv,AEP.csv,AES.csv,AET.csv,AFL.csv,AGN.csv,AIG.csv,AIV.csv,AIZ.csv,AJG.csv,AKAM.csv,ALB.csv,ALGN.csv,ALK.csv,ALL.csv,ALLE.csv,ALXN.csv,AMAT.csv,AMD.csv,AME.csv,AMG.csv,AMGN.csv,AMP.csv,AMT.csv,AMZN.csv,ANSS.csv,ANTM.csv,AON.csv,AOS.csv,APA.csv,APC.csv,APD.csv,APH.csv,APTV.csv,ARE.csv,ARNC.csv,ATVI.csv,AVB.csv,AVGO.csv,AVY.csv,AWK.csv,AXP.csv,AZO.csv,BA.csv,BAC.csv,BAX.csv,BBT.csv,BBY.csv,BDX.csv,BF.B.csv,BHGE.csv,BIIB.csv,BK.csv,BLK.csv,BLL.csv,BMY.csv,BR.csv,BRK.B.csv,BSX.csv,BWA.csv,BXP.csv,CA.csv,CAH.csv,CAT.csv,CBOE.csv,CCL.csv,CDNS.csv,CHRW.csv,COF.csv,COG.csv,CPB.csv,GOOG.csv,GOOGL.csv,HRB.csv,KMX.csv,LNT.csv,MMM.csv,MO.csv,T.csv
2010-01-01,22.2177,20.6961,40.48,30.1046,,26.07,8.73,25.8328,41.5,36.78,31.58,31.31,37.5646,64.59,25.41,27.95,34.79,13.31,31.7,23.125,39.61,25.1146,15.92,29.48,22.51,25.34,36.37,17.82,8.64,30.04,,24.41,13.94,9.68,16.9956,67.35,56.57,38.82,43.21,134.52,43.46,58.29,38.34,7.2317,103.17,62.42,74.9403,23.09,,64.29,,11.11,82.11,18.29,36.49,22.41,40.52,158.07,54.13,15.06,31.8783,25.37,39.46,78.86,14.2853,,49.2789,27.97,232.2,12.925,25.25,22.56,65.72,9.0,16.61,67.07,22.46,32.24,56.99,,31.69,5.99,58.73,38.34,10.8975,33.8,,310.2904,22.62,24.25,15.13,82.67,19.63,28.03
2010-01-04,22.3822,20.6693,40.38,30.5729,,26.63,8.74,26.0577,42.07,37.09,31.67,31.47,37.5734,65.89,25.67,27.76,34.94,13.67,33.0,23.785,40.29,25.0392,15.96,30.16,22.33,25.92,38.09,18.5,8.7175,30.41,,24.125,14.3,9.7,17.1556,68.88,57.7153,39.88,43.46,133.9,44.64,59.75,37.94,7.435,105.87,64.74,76.8818,22.97,,63.55,,11.3,81.2,18.86,36.85,22.65,40.92,158.03,56.18,15.69,31.6665,25.81,40.19,78.6,14.3467,,49.4079,28.29,238.58,13.1225,25.63,22.69,66.22,9.01,16.89,67.1,22.99,32.53,58.55,,32.06,6.12,59.34,39.05,11.5575,33.87,,313.6786,22.66,23.98,15.175,83.02,19.79,28.58
2010-01-05,22.1391,22.3829,40.14,30.6257,,26.44,8.53,25.8471,42.33,37.7,31.62,31.64,37.3716,66.02,25.28,27.65,34.54,13.53,32.53,24.475,39.89,24.57,16.36,31.06,22.21,26.69,38.02,18.01,9.195,30.91,,23.78,14.19,9.71,17.08,69.43,57.22,40.81,44.18,134.69,43.64,60.4,37.7,7.34,107.12,66.56,76.2439,22.49,,62.88,,11.32,80.59,19.0,37.09,22.88,40.83,156.71,58.02,16.2,31.4492,26.18,41.21,77.87,14.1973,,49.1684,28.59,239.61,12.975,25.23,22.6,66.54,9.04,17.695,68.12,22.91,32.24,59.25,,32.37,6.06,58.11,40.59,11.5425,33.93,,312.2973,22.34,24.12,15.53,82.5,19.8,28.44
2010-01-06,22.0604,21.7135,40.49,30.1386,,26.19,8.4,25.9907,42.78,37.62,31.56,31.56,37.2839,66.35,25.34,27.46,34.89,13.39,32.4,24.69,40.02,24.4109,16.65,30.97,22.22,26.47,38.09,17.48,9.1125,30.92,,23.84,14.16,9.57,17.0978,70.79,56.79,41.38,44.41,132.25,43.35,61.38,37.69,7.3433,108.8,67.14,75.6152,22.575,,62.55,,11.26,79.83,19.15,37.01,23.0,41.49,155.24,59.78,16.39,31.5578,26.58,40.89,77.66,14.3947,,49.2144,28.16,234.67,13.0,25.22,22.45,66.2,9.16,18.345,68.44,22.76,31.71,59.43,,31.79,6.13,57.34,40.81,11.4925,33.55,,304.4247,21.81,24.43,15.65,83.67,20.09,27.61
2010-01-07,22.0318,22.0884,40.48,30.0829,,25.77,8.4,26.206,42.74,36.89,31.31,31.23,37.2664,66.96,25.48,27.2,35.19,13.4,33.43,24.955,39.7,23.9418,17.26,31.35,22.08,26.48,37.82,17.43,9.065,31.08,,23.93,14.01,9.47,17.1422,70.47,56.27,41.69,44.29,130.0,43.46,63.66,37.58,7.365,107.15,67.03,75.1807,22.425,,63.13,,10.99,79.99,19.03,37.36,23.05,41.98,157.3,62.2,16.93,32.0685,27.65,41.54,77.64,14.2533,,48.8092,29.35,237.25,12.97,25.24,22.54,66.459,9.09,18.595,68.74,22.87,31.7,59.67,,32.14,6.25,56.79,42.83,11.39,33.04,,297.3378,21.91,24.2,15.735,83.73,20.06,27.3
2010-01-08,22.0247,21.7135,40.64,30.2829,,26.05,8.23,26.34,42.57,36.69,31.49,30.84,37.2137,67.68,26.26,27.01,35.61,13.78,32.7,24.705,39.41,24.5784,16.86,31.37,22.14,26.48,38.39,17.66,8.885,31.21,,23.975,14.552,9.43,17.4756,69.82,56.77,41.84,44.38,133.52,43.76,63.94,37.89,7.4733,106.59,67.06,75.6614,22.59,,62.92,,10.9,79.39,19.17,38.07,23.0,41.95,155.28,61.6,16.78,32.1445,27.34,39.91,77.91,14.2507,,49.8132,29.53,238.92,13.0175,24.82,22.71,66.44,9.0,18.255,67.85,23.11,31.6,60.34,,33.22,6.34,57.55,42.46,11.365,32.83,,301.3017,22.0,24.31,16.04,84.32,20.11,27.1
2010-01-11,22.039,21.5529,40.24,30.0157,,26.34,8.08,26.4739,42.53,36.21,31.31,30.86,37.3804,67.75,26.25,27.23,35.98,13.87,32.74,25.355,39.77,24.8214,16.99,31.59,22.17,26.39,38.22,17.54,8.83,31.21,,23.83,14.87,9.14,17.5778,70.29,57.02,42.38,43.98,130.308,43.93,64.31,38.05,7.4383,106.91,66.31,77.0482,22.645,,63.25,,10.89,80.48,19.29,38.71,23.23,41.47,155.48,60.87,16.93,31.9598,27.34,39.23,78.41,14.304,,49.6474,29.02,242.81,12.95,25.08,22.78,66.4998,9.07,18.225,68.17,23.07,32.02,64.13,,33.42,6.34,57.72,41.7,11.0725,32.93,,300.8462,22.1,23.95,16.005,83.98,20.26,26.97
2010-01-12,21.7744,20.9103,39.54,29.6743,,26.52,7.89,26.3974,42.26,35.66,30.01,30.53,37.1172,66.64,25.89,27.2,35.62,13.71,30.61,25.225,39.72,23.8412,16.55,31.3,22.3,26.16,37.69,17.23,9.0275,31.18,,23.5,14.2,8.65,17.2178,69.77,56.03,41.7,43.44,127.35,42.74,63.46,37.99,7.3867,105.29,64.14,76.0682,22.15,,63.34,,10.77,78.59,19.0,38.31,23.12,42.02,155.14,60.43,16.36,32.4651,27.43,39.26,77.25,14.4053,,49.0486,29.07,238.47,12.93,24.81,22.56,66.002,9.14,17.755,67.49,22.75,31.83,62.24,,32.88,6.2,56.99,41.86,10.785,33.32,,295.5261,21.97,23.37,16.01,84.05,20.15,26.96
2010-01-13,21.945999999999998,21.66,40.09,30.0929,,27.04,7.96,26.4548,42.74,36.28,30.0,30.66,37.3892,66.62,26.25,27.38,36.06,14.08,30.75,25.5,40.89,24.3439,17.01,31.59,22.29,26.04,38.07,17.58,9.335,31.46,,23.57,14.27,9.15,17.2667,70.52,56.53,42.21,44.36,129.11,43.04,64.97,38.06,7.345,106.82,66.47,76.8263,22.5,,63.51,,10.91,80.42,18.42,39.75,23.22,42.15,154.75,61.16,16.62,32.7965,27.9,39.73,77.5,14.704,,49.8132,29.29,239.42,12.9825,24.99,22.78,66.0,9.15,17.88,68.6,23.16,32.01,62.33,,34.05,6.39,57.32,42.12,10.965,33.82,,293.8294,22.27,23.49,16.16,83.78,20.24,26.64
2010-01-14,22.2749,22.1954,39.56,29.9186,,27.21,8.25,26.4835,43.12,35.9,29.97,30.74,37.2839,66.69,26.6,27.48,36.2,14.09,31.41,25.835,41.1,23.9585,16.82,31.26,22.23,26.88,37.92,17.13,9.35,31.64,,23.835,14.35,9.0,17.2711,69.22,56.16,42.02,44.61,127.35,43.49,66.22,37.76,7.38,107.4,66.77,75.874,22.645,,63.49,,10.86,79.94,18.43,39.79,22.98,42.68,154.38,61.56,16.82,33.5244,28.52,39.35,77.04,14.584000000000001,,50.0711,29.25,237.9,12.9225,25.05,22.97,65.96,9.51,18.94,68.31,23.46,32.62,61.98,,35.07,6.32,57.62,41.67,10.9525,33.65,,295.2108,23.07,22.91,16.34,83.5,20.38,26.19
2010-01-15,21.7601,21.66,39.31,29.4186,,26.92,8.05,26.5505,42.81,35.87,28.96,30.54,37.0821,65.64,26.08,27.34,36.01,14.04,31.36,25.555,40.9,23.5062,16.43,30.53,22.0,26.61,37.89,16.93,9.015,30.91,,23.705,13.73,8.84,17.0844,67.76,56.25,41.62,44.0,127.14,43.34,66.65,37.56,7.3233,107.66,65.89,76.5212,21.92,,62.71,,10.89,79.43,18.24,39.48,22.6,42.39,155.08,60.82,16.26,33.4484,27.76,38.93,76.29,14.3573,,49.9053,29.03,238.09,12.8525,25.07,22.4,64.94,9.43,18.675,68.09,23.29,32.34,60.12,,34.23,6.22,57.72,41.13,10.7475,32.99,,290.281,22.72,22.56,16.355,83.37,20.42,25.79
2010-01-18,21.7601,21.66,39.31,29.4186,,26.92,8.05,26.5505,42.81,35.87,28.96,30.54,37.0821,65.64,26.08,27.34,36.01,14.04,31.36,25.555,40.9,23.5062,16.43,30.53,22.0,26.61,37.89,16.93,9.015,30.91,,23.705,13.73,8.84,17.0844,67.76,56.25,41.62,44.0,127.14,43.34,66.65,37.56,7.3233,107.66,65.89,76.5212,21.92,,62.71,,10.89,79.43,18.24,39.48,22.6,42.39,155.08,60.82,16.26,33.4484,27.76,38.93,76.29,14.3573,,49.9053,29.03,238.09,12.8525,25.07,22.4,64.94,9.43,18.675,68.09,23.29,32.34,60.12,,34.23,6.22,57.72,41.13,10.7475,32.99,,290.281,22.72,22.56,16.355,83.37,20.42,25.79
2010-01-19,22.0247,21.6332,39.5,30.72,,27.37,8.35,26.8902,43.75,36.95,29.47,30.54,37.6436,67.25,26.17,27.69,36.44,14.13,32.66,26.05,41.83,23.6653,16.94,30.83,22.25,27.22,38.37,17.34,9.2925,31.39,,23.815,13.97,9.01,17.1911,68.3,57.55,42.06,44.19,127.61,44.09,68.06,37.83,7.4517,108.4,66.92,76.3455,22.04,,63.45,,10.84,80.89,17.81,40.07,22.5,42.96,157.28,60.65,16.32,33.3777,28.17,39.1,77.29,14.3653,,50.8724,29.53,240.01,12.9875,25.65,22.7,66.64,9.62,18.84,69.53,23.75,33.08,60.93,,35.01,6.22,58.13,43.01,10.96,33.05,,294.0947,22.91,22.85,16.58,85.12,20.38,26.2
2010-01-20,21.9031,22.7309,39.16,30.2464,,27.14,8.48,26.9093,43.51,36.49,28.93,30.9,37.1435,67.13,26.12,27.17,36.52,13.71,32.48,25.575,41.54,23.4224,16.65,30.3,22.14,26.95,37.96,17.68,9.25,31.22,,23.465,13.8,8.87,17.0311,67.13,57.2,41.9,44.33,125.78,42.79,67.68,38.09,7.4933,106.46,65.77,75.3286,22.05,,63.99,,10.82,79.08,17.96,39.61,22.45,42.98,156.37,60.2,16.49,33.0301,28.5,38.77,76.79,14.248,,50.4027,30.96,238.26,12.8575,25.46,22.57,69.52,9.48,18.585,69.07,23.53,32.82,59.76,,34.31,6.18,57.78,43.02,10.815,32.87,,290.4862,22.82,22.4,16.47,84.72,20.33,25.83
